ROI, Fractal Dimension
1,2.311855758
2,2.151671344
3,2.252029764
4,2.31301763
5,2.053782161
6,2.000715355
7,2.285659365
8,2.280696182
9,2.260008396
10,2.28868554
11,2.167063391
12,2.093479562
13,2.256321593
14,2.047896802
15,2.116607778
16,2.068102921
17,1.943960998
18,2.042848395
19,2.240053952
20,2.076004532
21,2.087524061
22,1.83975909
23,2.304948109
24,2.228409532
25,1.985425928
26,1.912699841
27,1.970232761
28,1.879672463
29,2.057909931
30,1.949349453
31,2.176053268
32,2.17503465
33,2.07562037
34,2.036538134
35,2.124725233
36,2.24981333
37,1.987651542
38,1.97051779
39,1.927209743
40,1.861690739
41,2.045785181
42,2.064885679
43,2.000302411
44,2.178449542
45,2.013402212
46,2.018102944
47,2.042972549
48,2.152424234
49,2.105197696
50,2.074876857
51,2.131774397
52,2.04537249
53,2.192555161
54,2.206718595
55,2.06508337
56,2.077151679
57,2.179706155
58,2.025116697
59,2.216435121
60,2.216985424
61,2.086063585
62,2.139885664
63,2.20892472
64,2.111504968
65,2.071681509
66,2.088262356
67,2.025406461
68,2.257013218
69,2.223467988
70,2.012964843
71,1.915780181
72,1.931050963
73,1.996820749
74,2.104631811
75,1.997939006
76,2.007291373
77,2.262473935
78,2.134478854
79,1.675035462
80,1.913108481
81,2.177208774
82,2.020959495
83,2.08952378
84,2.173419183
85,2.215214346
86,2.013798753
87,2.11759332
88,2.177123825
89,2.179032465
90,2.086797954